sample,fastq_1,fastq_2,strandedness,seq_platform
DU1704S0019812,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019812.fastq.gz,,auto,Illumina
DU1704S0019815,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019815.fastq.gz,,auto,Illumina
DU1704S0019818,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0019818.fastq.gz,,auto,Illumina
DU1704S0024679,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024679.fastq.gz,,auto,Illumina
DU1704S0024680,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024680.fastq.gz,,auto,Illumina
DU1704S0024681,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024681.fastq.gz,,auto,Illumina
DU1704S0024682,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024682.fastq.gz,,auto,Illumina
DU1704S0024683,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024683.fastq.gz,,auto,Illumina
DU1704S0024684,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024684.fastq.gz,,auto,Illumina
DU1704S0024685,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024685.fastq.gz,,auto,Illumina
DU1704S0024686,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024686.fastq.gz,,auto,Illumina
DU1704S0024687,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024687.fastq.gz,,auto,Illumina
DU1704S0024688,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024688.fastq.gz,,auto,Illumina
DU1704S0024689,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024689.fastq.gz,,auto,Illumina
DU1704S0024690,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024690.fastq.gz,,auto,Illumina
DU1704S0024691,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024691.fastq.gz,,auto,Illumina
DU1704S0024692,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024692.fastq.gz,,auto,Illumina
DU1704S0024693,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024693.fastq.gz,,auto,Illumina
DU1704S0024694,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024694.fastq.gz,,auto,Illumina
DU1704S0024695,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024695.fastq.gz,,auto,Illumina
DU1704S0024696,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024696.fastq.gz,,auto,Illumina
DU1704S0024697,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024697.fastq.gz,,auto,Illumina
DU1704S0024698,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024698.fastq.gz,,auto,Illumina
DU1704S0024699,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024699.fastq.gz,,auto,Illumina
DU1704S0024700,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024700.fastq.gz,,auto,Illumina
DU1704S0024701,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024701.fastq.gz,,auto,Illumina
DU1704S0024702,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024702.fastq.gz,,auto,Illumina
DU1704S0024703,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch2_fastq/DU17_04S0024703.fastq.gz,,auto,Illumina
